ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Number_Object_Number
1,58,390,261.0,285.0,1.0850219687295612,0.72620793601428979,1.0,0.7142857142857143,0.8301710501149866,27.091768952950233,26.570660511172846,9.4339811320566032,3.7415007915483351,3.3839144678161843,18.335757415498275,18.624916975016966,-30.288457441190474,76.834000000000032,0.94890510948905105,259.95641025641027,286.14871794871794,58
1,59,461,996.0,295.0,1.2163238439357555,0.84435127029328061,1.0,0.6196236559139785,0.71947563981057805,33.337713499608469,31.780497164141408,8.4852813742385695,3.7574741260488445,3.6055512754639891,16.883653684343681,17.86201377274762,-28.966630552801661,89.732000000000042,0.92292292292292288,994.07592190889375,296.24945770065074,59
1,60,361,248.0,305.0,1.193712335956636,0.82602675273924353,1.0,0.66117216117216115,0.67174730233378988,28.898724124866554,29.832867780352597,8.0,3.3771335896473786,3.0,16.443843832875572,16.288214203297365,-25.059752683434823,82.178000000000026,0.91508238276299114,248.35457063711911,305.4293628808864,60
1,61,384,1006.0,309.0,1.1060226739697676,0.74566513848914961,1.0,0.69818181818181824,0.81375179287607302,27.40879070264895,26.076809620810597,9.0,3.6488510142921378,3.1622776601683795,17.888543819998318,18.2630492552098,-23.5095855720053,77.006000000000029,0.92753623188405798,1003.4348958333334,309.796875,61
1,62,431,245.0,322.0,1.2909357090532052,0.58916832223690663,1.0,0.59448275862068967,0.49215628751317186,29.30864105690663,29.120439557122072,8.0622577482985491,3.0956264121279817,2.8284271247461903,23.685698378817282,23.681684635863451,67.134058763309611,104.90400000000004,0.77938517179023503,247.33410672853827,324.36890951276104,62
1,63,554,1008.0,327.0,1.1187464137414331,0.51135165776852609,1.0,0.63678160919540228,0.64913577606268369,30.156406255651635,31.016124838541646,10.0,3.8421292689944706,3.6055512754639891,24.625964840588416,25.915557957403333,-8.1469150242882229,103.56000000000004,0.86292834890965753,1008.4602888086642,327.39169675090255,63
1,64,217,238.0,345.0,1.0526712402886207,0.67702023614015605,1.0,0.72333333333333338,0.8241412316417478,19.483105545622362,19.416487838947599,7.0710678118654755,2.9416950261412254,2.8284271247461903,13.824530627070979,14.338872106705496,87.927205842177528,57.52200000000002,0.92735042735042739,237.75115207373273,346.04147465437791,64
1,65,269,249.0,355.0,1.2901093856982855,0.86193237401076461,1.0,0.73901098901098905,0.73242337983445727,26.561823886067824,25.709920264364882,6.7082039324993694,2.8635256634358712,2.8284271247461903,13.0,13.467462445301518,84.304615320530473,67.936000000000021,0.91032148900169185,249.44237918215615,356.18959107806694,65
1,66,756,1017.0,351.0,1.1334001447363977,0.67845994496208339,1.0,0.6967741935483871,0.69144535833073417,37.657769009184129,36.891733491393431,11.401754250991379,4.5672171384522526,4.1231056256176606,28.168130295716036,27.66480535075873,-12.858183835613152,117.21600000000005,0.88060570762958634,1013.9867724867725,351.0291005291005,66
1,67,206,235.0,364.0,1.0964547262591386,0.74521041617077788,1.0,0.73571428571428577,0.80051914524437318,20.013071469382933,19.646882704388499,6.7082039324993694,2.8214555360838176,2.5322475511229898,12.965338406690355,13.345304243898697,76.101369128129519,56.866000000000021,0.92792792792792789,234.38834951456312,362.94660194174759,67
