,index,standard deviation,mean gap,nb non zero gap,max gap,solving time,objective value
184,34,0.00375,0.0026293030005999918,48,0.00814699921251577,206.27589199999784,0.00010790505018434026
185,35,0.00375,0.002161229424053241,48,0.006901772748317644,200.14360099999976,9.201483808103719e-05
186,36,0.00375,0.0009272379256666085,48,0.003169547344279537,137.5496880000028,6.964415913467449e-05
187,37,0.00375,0.002417941024451656,48,0.008484840347848396,1310.4642310000017,9.780706511907636e-05
188,38,0.00375,0.0021560650484672614,48,0.00841579715732095,214.27928800000154,0.00016194669191069519
189,39,0.00375,0.002956665106320987,48,0.012190653904301671,296.99682400000165,0.00014485815240434326
190,40,0.00375,0.0009704366557878257,48,0.003551241748741,37.95234900000287,9.097195112020865e-05
191,41,0.00375,0.001336450417568489,48,0.006714029030332122,94.33510000000024,0.00021457006858189217
192,42,0.00375,0.001778667988701326,48,0.0058635937610518885,337.0837449999999,9.391746588142743e-05
193,43,0.00375,0.0032525803265036394,48,0.01315775015522818,399.6770550000001,0.00012052166349643171
194,44,0.00375,0.0017863550963209155,48,0.005320601949273598,215.11431300000186,0.00021639545740283664
195,45,0.00375,0.002155757736969408,48,0.009594272429210592,337.8705119999977,0.0001527529044269463
196,46,0.00375,0.0029710918323483503,48,0.013633448336427878,812.4971839999998,0.00019293439160537074
197,47,0.00375,0.002069812792180708,48,0.009396776429415006,595.3775930000011,0.00018082220536394788
198,48,0.00375,0.00246787153182572,48,0.009719578323385096,422.39273200000025,0.00012359704457871247
199,49,0.00375,0.0030976502358871978,48,0.011022707609212923,346.38499199999933,4.33809786835944e-05
200,0,0.005,0.002078533760968016,48,0.009988468208383006,727.0301629999994,0.00020380174397522874
201,1,0.005,0.0023688983201154714,48,0.008466222267865885,413.08272099999886,0.00014525285012182093
202,2,0.005,0.0008978986452506857,48,0.004404450709867683,105.87300700000196,0.00021740782275334614
203,3,0.005,0.002344274975695342,48,0.008838552609589607,488.36688100000174,0.00028669294213478524
204,4,0.005,0.0014672332809251452,48,0.003668771917599874,134.31815800000186,0.0002804321586403445
205,5,0.005,0.0011276213974972852,48,0.002916520918798838,69.6920629999986,0.00023169809441604515
206,6,0.005,0.0026082859366778357,48,0.006789114122931372,622.0525019999986,0.0003324409291160377
207,7,0.005,0.0016951986209790876,48,0.006726519052378942,86.70518799999991,0.0003314141304216338
208,8,0.005,0.0028098181092965266,48,0.010324954761339808,680.5930870000011,0.00014461642377513602
209,9,0.005,0.002235640458288769,48,0.010277559468488344,338.53189700000075,0.00013130385938822303
210,10,0.005,0.0017819821541371246,48,0.005553004435086051,107.15042499999981,0.00030875472013585265
211,11,0.005,0.0011976244896174841,48,0.0034166996450670593,78.2632470000026,0.0003790837566874746
212,12,0.005,0.0021604259124785043,48,0.007361565479902209,96.92403900000136,0.0003048805285406995
213,13,0.005,0.0014452438482022555,48,0.004777690185565642,111.90063500000178,0.00019825845612762199
214,14,0.005,0.0033823676109130812,48,0.012939638001488368,218.07168900000033,0.0003631548310876839
215,15,0.005,0.0034294757896236473,48,0.00915301789750668,186.45898999999918,0.00019635851093455743
216,16,0.005,0.002311794052398626,48,0.011471361186219955,149.58534700000018,0.00025551705002017884
217,17,0.005,0.002220057953842874,48,0.0076247820992953325,106.41419600000154,0.0001686208243412543
218,18,0.005,0.0030657274647374597,48,0.008742787100016733,211.957570999999,0.0002652685397938567
219,19,0.005,0.0009661702856701934,48,0.005248080505481013,142.6116320000001,0.0001602695916925441
220,20,0.005,0.002430056787580038,48,0.00891615187620326,215.927969999997,0.00032092800327020176
221,21,0.005,0.002318944952199609,48,0.008147567751862282,156.49874599999748,0.0002883879903121545
222,22,0.005,0.004493717486982776,48,0.021117709544455097,1905.206639,7.36800767141309e-05
223,23,0.005,0.0010092090630045888,48,0.0040277209035793245,75.9615049999993,0.0004910367668154788
224,24,0.005,0.0022961653486756888,48,0.007537968961144018,72.26572400000077,0.00015326612796106692
225,25,0.005,0.0011693600892425965,48,0.00449853960747356,132.2213109999975,0.00015236648149099367
226,26,0.005,0.0022165226776440605,48,0.010589603724988697,181.40633199999866,0.00026828236914411746
227,27,0.005,0.0013929366336726263,48,0.004951602142875074,73.78764099999898,0.0002268612172404684
228,28,0.005,0.0007148006125570347,48,0.003783661090434362,54.285971999997855,0.00037686530828312244
229,29,0.005,0.0015233463147973957,48,0.0035761740689442684,124.64999999999782,0.0006265399495367504
230,30,0.005,0.0023564376357151297,48,0.006108616311827991,369.62936499999705,0.0004180974108210238
231,31,0.005,0.0010966890234065183,48,0.0048612235375231835,63.944759000001795,0.0003482662260376279
232,32,0.005,0.0022009316313916787,48,0.0089259096440363,171.5944180000006,0.0003618408082079182
233,33,0.005,0.0022780336711016123,48,0.00925379734053395,142.90526699999828,0.0004980399067638692
234,34,0.005,0.0012995024643646174,48,0.004156708542391599,175.9793669999999,0.000279993498757868
235,35,0.005,0.0005240507947712653,48,0.0025847332549893895,44.42355799999859,0.00026728314888946114
236,36,0.005,0.007541438884187354,48,0.030602655863016033,3540.9426660000026,0.00013451378553587425
237,37,0.005,0.0012529744672082224,48,0.006214411450744375,71.11777399999846,0.00016077706914202123
238,38,0.005,0.002522222987502087,48,0.01204431213717589,250.63469199999963,0.00030794473866563424
239,39,0.005,0.001774791149131113,48,0.006570605275672145,225.5676969999986,0.0002125365878094276
240,40,0.005,0.005614760471744301,48,0.024821292452868453,2414.0304879999967,0.00016782842722006596
241,41,0.005,0.0020126014498949283,48,0.00722415611094198,79.35984100000496,0.00036884692866638325
242,42,0.005,0.0029985246061316755,48,0.013190929968723147,132.6171699999977,0.00016513021218391504
243,43,0.005,0.0013097411313965357,48,0.006394508760196212,230.01698100000067,0.0002249944417702152
244,44,0.005,0.0012652810451957194,48,0.007723370652925318,118.55346599999757,0.0003395971408246551
245,45,0.005,0.0018818897244892744,48,0.006383570329994884,263.05113100000017,0.00015606505150081478
246,46,0.005,0.0014959577759982422,48,0.006423511334792686,111.53750299999956,0.0003030714386769035
247,47,0.005,0.0031624654214191905,48,0.014192632943884398,859.6453240000046,0.0005182937396337313
248,48,0.005,0.0004726455966293479,48,0.00277009288504396,50.04217500000232,0.00033851928871482035
249,49,0.005,0.002666553324091168,48,0.009938546905040764,295.6804819999961,0.0001731953225185503
250,0,0.00625,0.004809215052389928,48,0.0196287890521199,1362.8113850000009,0.00028439544112375444
251,1,0.00625,0.0024503684408952978,48,0.012821966897355666,132.1155609999987,0.00035350001957149414
252,2,0.00625,0.0012348551030207926,48,0.0034347075413387954,98.8880749999953,0.00038428003523173645
253,3,0.00625,0.0010426837654918502,48,0.005439676948617522,181.21818000000349,0.00021429045207088418
254,4,0.00625,0.0015443883047047751,48,0.005433351370193851,87.20679999999993,0.00037103648324250254
255,5,0.00625,0.0024806774390517296,48,0.011386923386321454,120.4550820000004,0.0003786921456027344
256,6,0.00625,0.0015626918458718246,48,0.004299210770455648,399.21853399999964,0.0010404274224083544
257,7,0.00625,0.0035795842485149888,48,0.016480475218981792,490.8983619999999,0.00023438904036159004
258,8,0.00625,0.001337163778966672,48,0.0030069089772923902,91.09577900000295,0.00045821754149548725
259,9,0.00625,0.0026008382293059313,48,0.011170430514193405,366.32231599999795,0.00037167834706472403
260,10,0.00625,0.0010887853805723795,48,0.005137415198054612,98.81169300000329,0.0007820842234344252
